method,mean_ks_mean,mean_wasserstein_mean,rbf_mmd_squared_mean,mean_rank,classifier,macro_f1_mean,macro_f1_std,mcc_mean,f1_trojan_mean,macro_f1_delta_vs_original_same_classifier
ADASYN,0.067991703392094,0.0855556550281065,0.0020615555375044,3.0,Random Forest,0.8043987365435673,0.0004891463537243,0.8055220704873088,0.7170629124345651,0.006725433609015674
Borderline-SMOTE,0.0764903011485042,0.1031878318896506,0.0041826335867983,4.0,Random Forest,0.8027294422803486,4.057317006842184e-05,0.8036655541641128,0.7177970571239572,0.005056139345796962
CTGAN,0.3087176983173077,0.1601322154745871,0.009040812301341,5.0,Random Forest,0.7981371004824176,0.0004456064446537,0.7990139461062293,0.710846005162816,0.00046379754786596283
Original,0.0406867654914529,0.0657129336896582,0.00040326036148,1.0,LightGBM,0.805054114270855,0.0014889939783485,0.806227849222315,0.722772984331938,0.0
QGAN stabilized,0.3553051549145299,0.4053475604921375,0.0709870329922365,6.0,LightGBM,0.8034589398785771,0.0005095356069392,0.8046761958710545,0.7206784737385409,-0.0015951743922779649
SMOTE,0.0482730702457264,0.0671007408659779,0.0005005471275541,2.0,Random Forest,0.7982253321504437,0.0010893136979852,0.7991261970629506,0.7129407603579403,0.0005520292158920359
